author,author_id
Albert Einstein,1
Alexandre Dumas fils,2
Alfred Tennyson,3
Allen Saunders,4
André Gide,5
Ayn Rand,6
Bob Marley,7
C.S. Lewis,8
Charles Bukowski,9
Charles M. Schulz,10
Douglas Adams,11
Dr. Seuss,12
E.E. Cummings,13
Eleanor Roosevelt,14
Elie Wiesel,15
Ernest Hemingway,16
Friedrich Nietzsche,17
Garrison Keillor,18
George Bernard Shaw,19
George Carlin,20
George Eliot,21
George R.R. Martin,22
Harper Lee,23
Haruki Murakami,24
Helen Keller,25
J.D. Salinger,26
J.K. Rowling,27
J.M. Barrie,28
J.R.R. Tolkien,29
James Baldwin,30
Jane Austen,31
Jim Henson,32
Jimi Hendrix,33
John Lennon,34
Jorge Luis Borges,35
Khaled Hosseini,36
Madeleine L'Engle,37
Marilyn Monroe,38
Mark Twain,39
Martin Luther King Jr.,40
Mother Teresa,41
Pablo Neruda,42
Ralph Waldo Emerson,43
Stephenie Meyer,44
Steve Martin,45
Suzanne Collins,46
Terry Pratchett,47
Thomas A. Edison,48
W.C. Fields,49
William Nicholson,50
