quote_id,tag_id
3,57
52,58
56,130
32,27
50,43
81,136
79,92
94,62
72,111
96,52
19,47
38,16
3,110
72,125
16,61
61,57
69,16
84,4
85,77
87,23
55,88
57,34
45,20
20,109
78,72
12,57
40,12
24,105
78,81
83,62
96,135
23,21
83,46
98,32
30,101
44,79
50,99
53,77
83,116
44,128
56,76
72,57
68,98
81,50
77,37
96,136
100,22
19,25
26,124
89,49
62,51
68,8
83,77
3,77
99,14
23,118
59,56
98,56
40,62
50,100
71,77
3,132
44,47
2,57
23,108
82,57
90,105
35,77
97,77
67,69
83,55
10,131
88,117
56,102
66,72
69,57
16,9
64,6
30,77
56,15
98,30
6,106
68,2
69,22
95,120
54,125
86,62
91,136
72,78
76,17
6,103
51,62
76,133
45,1
59,62
88,3
8,83
9,57
1,16
17,107
58,90
76,121
10,66
19,46
33,47
74,47
96,18
25,16
29,42
56,65
23,41
44,68
10,127
68,95
86,27
98,97
6,104
2,113
41,77
68,62
10,69
98,13
98,62
73,94
80,77
2,93
94,105
12,108
15,75
48,26
28,62
43,62
47,26
13,57
36,114
98,24
14,72
19,72
94,119
22,10
96,134
28,38
41,72
20,33
100,16
19,16
98,31
4,125
91,105
51,137
91,16
38,122
68,59
69,7
39,39
44,67
87,137
100,105
20,113
21,57
37,10
50,72
39,18
62,40
28,35
47,46
4,85
51,72
68,54
75,125
87,72
78,82
35,48
60,63
31,91
56,123
84,77
9,45
18,53
49,113
73,121
76,28
88,129
46,34
21,115
49,72
67,105
78,74
7,10
24,16
44,77
31,72
82,98
80,47
36,126
79,46
77,64
33,77
62,5
83,72
94,16
92,62
9,19
25,70
63,57
65,87
5,62
55,96
27,36
91,11
72,60
16,44
24,70
67,112
90,86
32,72
72,71
96,29
79,16
66,27
28,96
1,80
78,62
34,90
11,89
91,73
17,72
50,84
73,57
96,16
68,77
6,105
